customer_id,age,gender,region,income_tier,education_level,marital_status,tenure_months,contract_type,preferred_channel,loyalty_tier,churn,purchase_frequency,avg_order_value,total_spend_6m,recency_days,product_categories_used,returns_ratio,email_open_rate,app_sessions_per_month,support_tickets_6m,campaign_response_rate,last_promotion_used,customer_satisfaction_score,payment_method
CUST008822,47,Female,East,Low,Graduate,Married,16,Monthly,App,Silver,0,42,208.26,8991.57,,5,0,,,2,0.97,Discount,25.5,Debit Card
CUST009417,36,Male,south,High,Post-Graduate,Single,15,Annual,App,Platinum,0,4,21.04,87.37,124,2,0.3066,0.4411,43,0,0.4578,Cashback,65,Credit Card
CUST005669,61,Female,West,Mid,Graduate,Divorced,54,Monthly,Web,Silver,1,1,11.49,11.79,133,1,0.2042,0,49,2,0,Free Shipping,30.5,Credit Card
CUST006820,48,Male,Central,,Graduate,Divorced,42,Multi-year,Web,Platinum,0,1,655.25,695.08,159,1,0,,28,0,0.8175,No Promotion,58,Debit Card
CUST001883,51,Non-binary,West,Mid,,Divorced,33,Monthly,App,Gold,1,16,86.14,1485.48,73,4,0.316,,30,11,0.97,No Promotion,73,Wallet
CUST013176,46,Male,central,High,Graduate,Single,18,Annual,Web,Silver,1,4,31.71,118.23,183,4,,0.2656,9,11,0.1826,Cashback,16,Credit Card
CUST018153,31,Female,north,Mid,,Divorced,5,Monthly,App,Bronze,1,12,93.64,1080.96,36,4,0.7866,0.4011,,17,0.5255,Cashback,9,Wallet
CUST000705,48,MALE,Central,Mid,Graduate,Single,54,Monthly,In-store,Gold,1,1,827.25,908.52,159,1,0.3168,0,2,6,0.3081,,60.5,Debit Card
CUST014900,68,Female,South,Low,Doctorate,Divorced,52,Annual,Phone,,1,2,168.66,364.45,63,1,0.1713,0.1019,1,10,0.3961,Free Shipping,65,Debit Card
CUST009095,27,Female,West,Mid,Post-Graduate,Married,52,Multi-year,App,Platinum,0,42,83.39,3193.52,183,8,0.476,0.1376,12,0,0.241,Free Shipping,64.5,COD
CUST008778,45,male,South ,Mid,Graduate,Married,60,Monthly,Web,,0,1,17.36,18.82,96,1,0.2868,0.7371,23,4,0.6318,Cashback,70.5,Credit Card
CUST012024,27,Female,south,Mid,High School,Married,53,Annual,App,Silver,0,17,36.27,582.12,152,4,0.3193,0.3714,0,6,0.3572,,,Credit Card
CUST018411,30,FEMALE,central,Mid,Graduate,Single,86,Monthly,Web,Bronze,1,1,22.91,24.86,143,1,,,27,4,0.5969,No Promotion,20,COD
CUST005751,45,Male,South ,High,Post-Graduate,Single,17,Monthly,In-store,Bronze,1,1,22.63,24.49,124,1,0.2694,0.2414,0,4,0.087,Free Shipping,13.5,Credit Card
CUST006981,37,Female,North,Low,Graduate,Married,63,Annual,In-store,Bronze,1,11,101.52,1178.26,133,3,0.2356,0,0,14,0.5304,Discount,40,Wallet
CUST013799,34,male,WEST,High,Post-Graduate,Single,12,Multi-year,Web,,0,1,275.96,288.48,1,1,0.0938,0,60,0,0.5329,Cashback,35.5,Credit Card
CUST008919,41,Non-binary,North,Mid,High School,Single,31,Monthly,In-store,Gold,0,8,24.82,216.88,105,4,0,0.98,25,4,0.97,,100,COD
CUST002593,41,Non-binary,north ,Low,Graduate,Married,38,Annual,App,Bronze,0,3,192.49,626.57,78,3,0.7844,0.407,21,1,0.4174,Discount,35.5,Debit Card
CUST012653,52,female,South ,Low,,Married,25,Monthly,App,Bronze,0,11,106.55,1175.12,,6,,,9,4,0.8251,Discount,63.5,COD
CUST004911,44,Female,CENTRAL,High,,Single,18,multi-year,In-store,Gold,0,42,21.37,891.02,171,7,0.1227,0.7992,27,11,0.6366,Discount,8.5,Credit Card
CUST018854,32,Female,EAST,High,,Married,4,Monthly,App,,0,36,33.24,1102.14,85,8,0,0.4702,34,22,0.7921,Free Shipping,5,Debit Card
CUST010167,31,Female,East,Low,Post-Graduate,Married,34,Monthly,App,Bronze,0,27,94.29,2401.32,129,4,0.2924,0.7182,39,2,0.7165,Free Shipping,58,Wallet
CUST001576,65,Female,west,Mid,Graduate,Married,6,Monthly,App,Platinum,0,17,45.16,791.09,146,6,0.0776,0.4223,30,0,0.7359,Discount,79.5,Credit Card
CUST014848,27,Male,West,Mid,Doctorate,Married,18,Monthly,App,Silver,0,4,31.43,116.34,1,3,0.2559,0.3032,18,4,0,No Promotion,3,Credit Card
CUST011795,34,Female,North,Low,High School,Married,26,Annual,App,,0,,37.8,594.9,183,6,0.0729,0.0181,26,0,0.5899,,63,Debit Card
CUST006082,46,Female,South,High,Graduate,Married,13,Annual,In-store,Silver,0,18,36.18,615.67,1,3,0.0944,0.98,27,10,0.9175,Cashback,0,Wallet
CUST004391,57,F,NORTH,Low,Post-Graduate,Widowed,20,Monthly,Phone,,0,28,65.68,1687.46,170,5,0.4648,0.98,10,9,0.1293,Cashback,39.5,Credit Card
CUST008594,22,Male,Central,Mid,Post-Graduate,Widowed,9,Monthly,Web,Gold,0,4,83.48,316.24,31,3,0.1369,0.1372,0,0,0,Cashback,78.5,Debit Card
CUST017661,57,female,north,Mid,Graduate,Divorced,34,Annual,App,,1,11,27.46,274.8,90,6,0.1821,0.5831,0,3,0.97,,62.5,Credit Card
CUST005035,32,FEMALE,South,Mid,High School,Divorced,27,Monthly,App,Bronze,0,,170.4,349.75,68,2,0.4429,0.2995,0,0,0.3629,No Promotion,24.5,Credit Card
CUST000429,40,Male,north,High,Graduate,Divorced,14,Annual,App,Platinum,0,1,21.63,22.48,44,1,0.5674,0.7461,0,0,0.3428,No Promotion,,Credit Card
CUST003776,44,Male,East,,Post-Graduate,Divorced,23,Monthly,Web,Bronze,0,,76.97,266.45,2,1,0.2671,0.043,32,0,0.1255,Free Shipping,53.5,Credit Card
CUST011494,49,Female,Central,Low,Graduate,Married,22,Annual,Web,Bronze,1,5,16,84.81,154,3,0.2607,0.314,60,1,0.8423,No Promotion,31.5,Wallet
CUST000056,30,Male,SOUTH,,High School,Divorced,18,Monthly,App,Gold,0,16,88.07,1382.26,,4,0.1911,,41,5,0.2675,No Promotion,36,Credit Card
CUST011154,27,Male,east,High,Graduate,Married,36,Monthly,App,Bronze,0,1,32.13,33.8,1,1,0.5209,0.3614,40,0,0.5352,Discount,,Credit Card
CUST018422,47,male,SOUTH,Mid,Post-Graduate,Single,10,Monthly,Web,,0,12,26.04,325.5,45,6,0.2986,,,0,0.2183,No Promotion,85,Wallet
CUST002171,49,Female,Central,,High School,Married,47,Multi-year,App,Silver,0,9,178.97,1493.39,126,5,0.464,0.237,,5,0.2718,Discount,39.5,Credit Card
CUST010367,49,Female,Central,Mid,Post-Graduate,Married,30,Monthly,App,Bronze,0,8,38.7,282.15,183,1,0,0.7656,51,0,0.6963,Discount,48,Credit Card
CUST003575,18,Non-binary,SOUTH,Mid,High School,Divorced,28,Monthly,Web,Bronze,0,15,55.7,892.64,99,2,0.5861,0.6146,49,7,0.5436,Free Shipping,51.5,Wallet
CUST004920,48,M,north,Low,Graduate,Divorced,21,Multi year,Web,Silver,0,,103.34,1021.22,50,1,0.1837,,60,5,0.3755,Cashback,58.5,Wallet
CUST014529,54,Female,North,Mid,Post-Graduate,Divorced,24,Annual,Web,Bronze,0,18,243.57,4099.29,183,3,0.2881,0.5447,60,7,0.97,No Promotion,53,Debit Card
CUST015055,49,Male,North,High,Post-Graduate,Single,58,Annual,Phone,Silver,0,1,403.14,414.64,82,1,0.2541,0.4825,38,8,0.8477,No Promotion,27.5,Debit Card
CUST005110,32,Male,South,High,Graduate,Married,31,Annual,Web,Bronze,0,13,70.59,886.35,110,5,0.2045,0.2549,,0,0.6008,Discount,63,Credit Card
CUST009895,46,Male,North,Low,Graduate,Single,24,Monthly,In-store,,0,40,45.65,1664.15,23,5,0.5633,0.557,36,0,0.7538,Cashback,55.5,Credit Card
CUST004826,71,M,South,Mid,Graduate,Married,35,Annual,Phone,Silver,0,11,257.12,2674.89,138,5,0.2695,0.3896,21,2,0.287,Free Shipping,73,COD
CUST009677,33,Male,east,Mid,Post-Graduate,Married,14,Annual,Web,,0,13,52.03,711.02,86,7,0.2246,0.204,5,4,0.4943,No Promotion,100,COD
CUST016278,60,female,EAST,Mid,Graduate,Single,27,Monthly,In-store,Silver,0,23,79.17,1781.09,80,4,0.1431,0.6114,6,11,0.6023,No Promotion,26.5,COD
CUST000443,45,female,West,Low,Graduate,Divorced,24,Multi-year,In-store,Silver,0,8,99.12,800.06,69,6,0.0425,,,0,0.3264,Discount,44.5,Credit Card
CUST005708,50,Female,West,Mid,High School,Widowed,57,Annual,Web,Bronze,0,14,307.72,3994.91,138,1,0.4487,0.8585,,0,0.2941,,45.5,Credit Card
CUST015571,33,Male,SOUTH,Low,High School,Single,24,Monthly,In-store,Bronze,1,13,42.51,507.63,30,6,0.5501,0.8319,0,12,0,Cashback,66,Credit Card
CUST002421,26,Female,West,High,High School,Single,2,Annual,App,Silver,1,11,210.8,2197.87,60,3,,0.4635,45,14,0.2908,No Promotion,3,Credit Card
CUST014936,63,Female,North,Low,Graduate,Married,49,Monthly,App,,0,30,231.81,6916.07,108,7,0.424,0.8083,36,1,0.8027,Discount,43,Debit Card
CUST007829,21,Male,East,Mid,Graduate,Widowed,21,Monthly,App,Bronze,0,19,40.33,819.42,148,5,0.3958,0.5154,35,12,0.9602,No Promotion,78.5,Credit Card
CUST015128,75,Non-binary,North,,Doctorate,Divorced,71,Annual,In-store,Bronze,1,5,24.24,127.58,183,3,0.3992,0.8762,9,1,0.8351,,95,Debit Card
CUST014381,52,Male,west,Low,Doctorate,Married,40,Monthly,App,Bronze,0,19,60.32,1068.16,74,5,0.0643,0.0755,0,0,0.7395,Free Shipping,61.5,Credit Card
CUST004725,46,Male,north ,High,High School,Married,7,Monthly,In-store,Gold,0,,71.14,86.11,1,8,0.1839,0.7652,31,4,0.4307,Discount,64.5,Wallet
CUST001092,36,Male,EAST,Low,Graduate,Single,19,Annual,Web,Bronze,1,8,197.7,1494.77,158,3,0.73,0.6386,6,0,0.3857,No Promotion,,Credit Card
CUST009344,20,Male,north,High,,Single,65,Monthly,App,,0,1,23.04,24.14,114,1,,0.7675,17,0,0.4683,Cashback,39,COD
CUST017436,40,Female,CENTRAL,Mid,Post-Graduate,Single,24,Monthly,Web,Bronze,1,1,14.26,14.44,182,1,0.2332,,18,2,0.1759,Discount,,Wallet
CUST008666,45,Female,south,Mid,,Single,30,multiyear,Web,,0,22,113.69,2654.72,50,8,0.3244,0.6361,,0,0.4473,Discount,26,Debit Card
CUST018647,54,Male,Central,Mid,High School,Single,10,Monthly,App,Gold,0,19,237.64,4397.41,159,6,0.2188,0.98,47,6,0.4173,No Promotion,87,Debit Card
CUST018792,44,Non-binary,EAST,Low,Post-Graduate,Married,36,Annual,Phone,Silver,0,21,112.22,2399.26,183,6,0.32,0.4963,0,8,0.394,Discount,49.5,Credit Card
CUST016523,,M,north,High,Graduate,Married,6,Multi-year,Phone,,1,6,13.7,83.76,148,2,0,,47,0,0.6002,,81,Credit Card
CUST002727,56,Male,CENTRAL,,Graduate,Divorced,2,Monthly,Web,Silver,0,3,287.54,884.48,60,3,0.548,0.6229,0,9,0.8172,,58.5,Debit Card
CUST015806,,Male,NORTH,Low,Graduate,Married,55,Annual,App,Silver,0,9,64.75,579.27,1,7,0.2329,0.4403,,0,0.97,Cashback,49.5,COD
CUST005552,51,Male,central,Mid,High School,Single,17,Monthly,Web,Gold,0,,303.82,1987.11,54,1,0.5777,0.98,25,3,0.6312,Free Shipping,65,Debit Card
CUST013190,64,Male,West,,Graduate,Married,91,Multi-year,Web,Bronze,0,16,179.1,2824.64,124,2,0.2307,0.0933,36,1,0.1773,Discount,29.5,Credit Card
CUST010199,44,Male,north,Mid,Graduate,Single,31,Monthly,In-store,,0,1,17.81,19.4,1,1,0.0296,0,0,0,0.7031,No Promotion,60.5,Debit Card
CUST008733,24,Female,East,High,Graduate,Single,21,Monthly,Web,Bronze,1,12,338.25,3874.01,132,5,0.1123,0.5709,17,10,0.3566,Free Shipping,35.5,Credit Card
CUST012114,36,Female,NORTH,Low,Graduate,Single,32,Annual,Web,Bronze,0,42,282.58,12402.05,183,7,0.1621,0.7532,50,0,0.5486,No Promotion,72.5,Credit Card
CUST016772,60,Female,east,Mid,Graduate,Married,41,Multi-year,In-store,Silver,0,9,24.8,243.05,55,4,0.2344,0.4418,0,0,0.2227,,100,COD
CUST015461,60,Female,South ,High,Graduate,Single,5,Multi year,Web,,0,41,125.94,5231.9,150,5,0.452,0.2735,0,7,0.2276,No Promotion,99,Credit Card
CUST003935,,Male,north,,Graduate,Married,12,Multi-year,App,Silver,0,18,63.3,1136.97,164,4,0.5093,0.2777,60,10,0.2903,,87.5,Debit Card
CUST001440,57,male,East,Mid,Graduate,Single,24,Monthly,App,Silver,0,7,18.79,121.55,134,1,,0,22,2,0.4688,Discount,28,Credit Card
CUST017353,36,Non-binary,South ,Low,Graduate,Married,26,Multi-year,App,Bronze,1,,72.46,877.9,114,1,0.2022,0.623,23,0,0.5447,No Promotion,32,Wallet
CUST005042,40,F,south,Mid,High School,Married,36,Monthly,Phone,Silver,1,1,24.47,26.27,65,1,0.0143,0.7565,41,1,0.0852,,15,Credit Card
CUST000993,44,FEMALE,Central,Low,Post-Graduate,Married,29,Monthly,In-store,,0,20,126.64,2776.31,143,3,0.124,0.98,,0,0.4658,No Promotion,70,Credit Card
CUST003627,55,Male,north ,High,Graduate,Married,12,Monthly,Phone,Bronze,1,17,80.88,1292.93,46,6,0,0.4909,,4,0,No Promotion,0,Credit Card
CUST012066,44,male,NORTH,Low,Graduate,Married,46,multiyear,Phone,,0,37,19.42,778.91,,8,0.1004,0.3854,0,1,0,Discount,62.5,Credit Card
CUST014647,56,MALE,South,Mid,High School,Divorced,12,Multi-year,Web,Silver,0,4,272.77,1062.76,183,4,0.1172,0.2959,41,0,0.2852,Discount,70,Credit Card
CUST006039,70,Female,SOUTH,Mid,Graduate,Single,55,Annual,Web,Gold,0,22,182.45,4109.57,,8,0.025,,17,0,0.3279,Discount,79.5,COD
CUST002613,35,Male,central,,Graduate,Married,3,Annual,In-store,,0,21,279.78,5550.63,90,4,0.7811,0.5392,29,20,0.7485,No Promotion,,COD
CUST006053,37,Female,Central,Mid,Graduate,Married,22,Monthly,Web,Silver,0,38,291.55,10521.36,183,8,0.4134,0.637,58,14,0.2283,Cashback,62.5,Debit Card
CUST004441,,Female,CENTRAL,,Graduate,Single,40,Multi year,Web,Bronze,1,19,35.82,696.81,73,5,0.0586,0.2568,1,7,0.7204,No Promotion,33.5,Credit Card
CUST015022,53,MALE,south,High,Post-Graduate,Single,10,Annual,Phone,Gold,0,3,726.85,2173.93,24,3,0.4649,0.3422,,9,0.5499,Free Shipping,50.5,Wallet
CUST006949,37,Female,east,Low,High School,Married,25,Monthly,Phone,Gold,0,18,58.19,1144.7,118,4,0.1939,0.8229,40,3,0.8577,No Promotion,42.5,Credit Card
CUST016744,34,Male,South ,Low,High School,Divorced,15,Annual,In-store,Bronze,1,28,52.77,1407.97,14,7,0.3678,0.4919,25,21,0.6234,Discount,,Debit Card
CUST005970,63,M,north,Mid,Graduate,Divorced,36,Monthly,Phone,Bronze,0,25,20.11,540.71,132,3,0.1135,0.5989,60,11,0.8113,No Promotion,,Credit Card
CUST014894,34,Female,Central,Low,Graduate,Married,98,Annual,Web,Bronze,0,1,448.49,451.27,122,1,0.2712,0.6455,58,0,0.7993,Free Shipping,56.5,Credit Card
CUST015673,41,Male,CENTRAL,,High School,Single,32,Annual,App,Gold,0,42,109.62,4267.59,88,7,0.1259,0.1675,0,5,0,,67.5,COD
CUST013482,62,male,North,,Graduate,Married,15,Annual,Web,Silver,0,22,197.84,4125.38,173,3,0.2009,0.7739,0,28,0.5954,,100,Wallet
CUST007544,24,Female,East,Low,High School,Divorced,35,Annual,In-store,Gold,1,3,389.46,1228.14,183,3,0.085,0.6452,0,6,0.97,Discount,42.5,Wallet
CUST009903,35,Male,West,Mid,High School,Single,29,Monthly,Phone,Bronze,0,31,110.04,3634.12,3,4,,0.2735,,7,0.2844,Free Shipping,,Debit Card
